ped	id	sex	mother	father	Total_Ages_Available	ID	Exists_As_Adult	RRBS_Missingness	Total_NG_Remaining
1	1	1	113	127	1	B2X3682	1	0.787832186	4032
1	2	1	113	127	1	B2X3683	1	0.886709213	3633
1	3	1	113	138	1	B2X3686	1	0.848898594	1212
1	4	1	113	127	1	B2X3690	1	0.868130179	1687
1	5	1	113	127	1	B2X3691	1	0.910490002	3008
1	6	1	114	126	1	B2X4454	1	0.883572588	3108
1	7	1	114	126	1	B2X4455	1	0.863184377	1370
1	12	2	119	6	1	B2V8972	1	0.822358986	3231
1	13	2	119	6	1	B2V8973	1	0.807000566	521.6364182
1	14	1	121	143	1	B2X7642	1	0.906566159	281.5
1	15	2	122	25	1	B4E9350	1	0.864255733	3832
1	16	2	173	183	1	B2X3546	1	0.838572811	0
1	17	2	174	184	2	B2X3614	1	0.757409307	3630
1	21	2	176	185	2	B2X4346	1	0.898226071	103
1	22	1	177	186	1	B2X3125	1	0.859206582	15727.5
1	23	2	16	112	1	B2X4197	1	0.876238372	1589.635518
1	24	2	16	125	1	B2X4305	1	0.884322935	1197.915104
1	25	1	17	134	1	B2X7401	1	0.815781097	1275
1	26	2	17	143	1	B2X7402	1	0.909011514	1256
1	28	2	17	143	2	B2X7407	1	0.795461786	832.5
1	29	2	17	134	1	B2X7408	1	0.842243976	1381.340933
1	30	1	17	134	2	B2X7410	1	0.771119838	707.5
1	31	1	136	132	1	B2X4108	1	0.913842863	3516
1	32	1	136	132	1	B2X4110	1	0.889553587	2592
1	33	1	136	124	1	B2X4112	1	0.816501835	1581
1	34	2	137	22	1	B2X4123	1	0.718487046	596
1	35	1	137	22	1	B2X4133	1	0.950120616	1738.953052
1	36	1	139	128	1	B2X4031	1	0.935024697	1743
1	37	2	139	128	1	B2X4034	1	0.864936611	5616
1	38	2	139	128	2	B2X4036	1	0.911833111	1777.5
1	45	1	141	144	1	B2X4825	1	0.870096513	1943.557822
1	46	2	142	135	1	B2X4101	1	0.865571937	2538
1	47	2	142	138	1	B2X4102	1	0.875464109	3591
1	50	2	38	130	2	B2X7638	1	0.756888292	314.8492575
1	52	1	24	188	1	B2X7045	1	0.772614697	1761.181941
1	57	2	21	30	2	B3Y6650	1	0.845065145	448
1	58	2	147	134	1	B2X7334	1	0.91314234	966.2891855
1	59	2	147	134	1	B2X7338	1	0.807592331	1247.922604
1	60	1	147	134	1	B2X7339	1	0.855901409	1225.288736
1	61	2	147	134	2	B2X7340	1	0.867959923	194
1	62	2	149	52	1	B3Y5518	1	0.85416341	1926
1	63	1	179	189	2	B3Y5820	1	0.77535871	875
1	65	2	59	145	1	B3Y6090	1	0.836747692	1319.621429
1	66	1	59	150	1	B3Y6099	1	0.77429191	1620
1	74	1	155	162	1	B4H0825	1	0.95173434	2958
1	78	2	155	152	2	B4H0832	1	0.963930796	3904.4
1	80	1	158	157	1	B3Y6857	1	0.904851933	3364
1	81	1	158	157	1	B3Y6859	1	0.895453729	1538.22
1	82	2	160	118	1	B4E9421	1	0.865942199	1896
1	83	2	181	191	2	B3Y6742	1	0.89272879	534
1	100	2	83	63	2	B4H1338	1	0.861934225	552
1	102	1	83	159	1	B4H1340	1	0.87426008	1594.945714
1	107	1	163	165	1	B4P8908	1	0.886711349	0
1	108	2	163	164	1	B4P8912	1	0.843199455	1233.445714
1	112	1	0	0	1	B1P5975	1	0.875635219	5800
1	113	2	0	0	1	B1V5492	1	0.862951628	1657.5
1	114	2	0	0	1	B1V5571	1	0.902985247	2457
1	118	1	0	0	1	B2V8683	1	0.827938975	4048
1	119	2	0	0	1	B2V8701	1	0.93825186	1596
1	121	2	0	0	1	B2V8793	1	0.894270768	3692
1	122	2	0	0	1	B2V8841	1	0.773204042	5755.5
1	124	1	0	0	1	B2X3020	1	0.959299881	3339
1	125	1	0	0	1	B2X3049	1	0.894683737	1507.5
