ID	total_sequences	unique_hits	mapping_rate	total_cytosines	cpg_rate	chg_rate	chh_rate
B1P5975_BL_ADL_M__SRR20216588	22464657	10248560	45.6%	459981602	47.6%	2.0%	0.5%
B1P5975_BL_ADL_M__SRR22581215	13402218	6191711	46.2%	277239854	51.1%	1.7%	0.7%
B1V5492_BL_ADL_F__SRR20216587	22761148	9825078	43.2%	441111217	49.0%	2.0%	0.5%
B1V5492_BL_ADL_F__SRR22581279	20657219	9348880	45.3%	416357133	50.9%	1.7%	0.7%
B1V5571_BL_ADL_F__SRR20216445	19852829	8484542	42.7%	380225607	48.2%	1.8%	0.5%
B1V5571_BL_ADL_F__SRR22581235	8627007	3703486	42.9%	164840431	51.0%	1.7%	0.7%
B2F5304_BL_CHK_M__SRR20216434	5631370	2291327	40.7%	103832439	48.5%	1.9%	0.5%
B2V8308_BL_CHK_F__SRR20216423	20418848	8856576	43.4%	402974081	48.0%	2.0%	0.5%
B2V8308_BL_CHK_F__SRR22581270	19108061	8277168	43.3%	368164784	49.3%	1.7%	0.7%
B2V8668_BL_CHK_F__SRR20216412	5628445	2338505	41.5%	103802140	50.9%	2.1%	0.5%
B2V8668_BL_CHK_F__SRR22581212	3692451	1591038	43.1%	70699314	54.8%	1.7%	0.7%
B2V8683_BL_ADL_M__SRR20216521	23923898	10779347	45.1%	476915350	46.3%	2.1%	0.5%
B2V8683_BL_ADL_M__SRR22581271	39588020	18516523	46.8%	812300691	47.6%	1.8%	0.7%
B2V8701_BL_ADL_F__SRR20216510	5834826	2470046	42.3%	111186627	47.7%	1.7%	0.5%
B2V8701_BL_ADL_F__SRR22581145	6564160	2810257	42.8%	126209128	50.2%	1.5%	0.7%
B2V8779_BL_CHK_M__SRR20216499	18194277	8223291	45.2%	367075954	48.0%	1.9%	0.5%
B2V8779_BL_CHK_M__SRR22581221	4886991	2119323	43.4%	93411914	50.7%	1.7%	0.7%
B2V8793_BL_ADL_F__SRR20216408	10177037	4268058	41.9%	186667464	48.5%	2.1%	0.5%
B2V8793_BL_ADL_F__SRR22581259	16334855	7326861	44.9%	328544887	52.4%	1.6%	0.7%
B2V8841_BL_ADL_F__SRR20216586	15631632	6972494	44.6%	309280099	46.9%	1.8%	0.5%
B2V8841_BL_ADL_F__SRR22581175	58786824	27036931	46.0%	1253141020	50.5%	1.4%	0.7%
B2V8841_BL_ADL_F__SRR24994220	5250440	2881124	54.9%	46252384	44.1%	1.0%	0.7%
B2V8841_BL_ADL_F__SRR24994221	5733596	3120703	54.4%	50044382	44.6%	1.0%	0.7%
B2V8841_BL_ADL_F__SRR24994248	5284714	2904677	55.0%	46665668	44.1%	1.0%	0.7%
B2V8841_BL_ADL_F__SRR24994249	5727023	3138366	54.8%	50501602	44.8%	1.0%	0.7%
B2V8841_BL_ADL_F__SRR25143965	14344879	6242523	43.5%	433259092	50.4%	2.0%	1.3%
B2V8841_BL_ADL_F__SRR25143966	131881324	81194699	61.6%	4859362706	51.7%	0.5%	0.5%
B2V8901_BL_CHK_F__SRR20216575	10269633	4271918	41.6%	190257531	50.2%	2.1%	0.5%
B2V8901_BL_CHK_F__SRR22581214	13093324	5737944	43.8%	252900754	52.6%	1.8%	0.7%
B2V8902_BL_CHK_F__SRR20216564	3870411	1591506	41.1%	70729342	49.4%	1.9%	0.5%
B2V8902_BL_CHK_F__SRR22581278	2504670	1080435	43.1%	48059524	51.8%	1.7%	0.7%
B2V8972_BL_ADL_F__SRR20216553	28546784	12378927	43.4%	547824929	47.5%	1.9%	0.5%
B2V8972_BL_ADL_F__SRR22581185	27414545	12366635	45.1%	567952253	53.8%	1.5%	0.7%
B2V8973_BL_ADL_F__SRR20216542	2311994	919269	39.8%	41131196	48.5%	1.6%	0.5%
B2V8973_BL_ADL_F__SRR22581177	60978479	26569122	43.6%	1233203583	53.3%	1.4%	0.7%
B2V8993_BL_CHK_M__SRR20216531	13233531	5882071	44.4%	265065368	50.4%	1.9%	0.5%
B2V8993_BL_CHK_M__SRR22581168	1840764	787284	42.8%	35265467	49.6%	1.7%	0.7%
B2X3020_BL_ADL_M__SRR20216480	6735409	3005145	44.6%	131627344	47.4%	2.2%	0.5%
B2X3020_BL_ADL_M__SRR22581192	3361291	1490413	44.3%	66004486	49.3%	1.6%	0.7%
B2X3049_BL_ADL_M__SRR20216469	8805833	3748245	42.6%	166834669	46.3%	1.9%	0.5%
B2X3049_BL_ADL_M__SRR22581154	18698465	8549852	45.7%	376382955	48.5%	1.7%	0.7%
B2X3074_BL_ADL_M__SRR20216458	17533818	7905841	45.1%	346536980	45.7%	2.0%	0.5%
B2X3074_BL_ADL_M__SRR22581152	7670872	3483142	45.4%	157259810	51.0%	1.5%	0.7%
B2X3081_BL_ADL_M__SRR20216447	10891898	4476518	41.1%	200433442	47.6%	2.0%	0.5%
B2X3081_BL_ADL_M__SRR22581162	4295297	1665395	38.8%	74186504	55.9%	1.8%	0.7%
B2X3087_BL_ADL_M__SRR20216444	26137704	11613507	44.4%	514059607	46.3%	2.1%	0.5%
B2X3087_BL_ADL_M__SRR22581242	4753644	2053242	43.2%	91309429	48.8%	1.6%	0.7%
B2X3125_BL_ADL_M__SRR20216443	44732973	19904360	44.5%	873981060	48.6%	2.0%	0.5%
B2X3125_BL_ADL_M__SRR22581203	12979885	5857599	45.1%	261550983	51.7%	1.6%	0.7%
B2X3215_BL_CHK_M__SRR20216442	20920326	9391918	44.9%	421606506	47.6%	2.0%	0.5%
B2X3215_BL_CHK_M__SRR22581249	2581408	1036116	40.1%	45727170	48.5%	1.6%	0.7%
B2X3238_BL_CHK_F__SRR20216441	12516444	4965153	39.7%	230006298	51.3%	1.8%	0.5%
B2X3238_BL_CHK_F__SRR22581151	11901093	4881791	41.0%	219939580	53.4%	1.7%	0.7%
