ID	Batch	Biosample	Accession	Ring	Tissue	Age	Sex
B2X7638_BL_ADL_F__SRR22581122	Saarland_Second	B2X7638_BL_ADL_F	SRR22581122	B2X7638	BL	ADL	F
B4H1335_BL_CHK_M__SRR22581147	Saarland_Second	B4H1335_BL_CHK_M	SRR22581147	B4H1335	BL	CHK	M
B2X3931_BL_ADL_F__SRR22581302	Saarland_Second	B2X3931_BL_ADL_F	SRR22581302	B2X3931	BL	ADL	F
B1V5492_BL_ADL_F__SRR22581279	Saarland_Second	B1V5492_BL_ADL_F	SRR22581279	B1V5492	BL	ADL	F
B3Y5931_BL_CHK_F__SRR22581289	Saarland_Second	B3Y5931_BL_CHK_F	SRR22581289	B3Y5931	BL	CHK	F
B2X4843_BL_CHK_M__SRR22581159	Saarland_Second	B2X4843_BL_CHK_M	SRR22581159	B2X4843	BL	CHK	M
B3Y6090_BL_ADL_F__SRR22581239	Saarland_Second	B3Y6090_BL_ADL_F	SRR22581239	B3Y6090	BL	ADL	F
B2X7407_BL_CHK_F__SRR22581222	Saarland_Second	B2X7407_BL_CHK_F	SRR22581222	B2X7407	BL	CHK	F
B2V8902_BL_CHK_F__SRR22581278	Saarland_Second	B2V8902_BL_CHK_F	SRR22581278	B2V8902	BL	CHK	F
B4H0546_BL_CHK_M__SRR22581248	Saarland_Second	B4H0546_BL_CHK_M	SRR22581248	B4H0546	BL	CHK	M
B2X3690_BL_ADL_M__SRR22581187	Saarland_Second	B2X3690_BL_ADL_M	SRR22581187	B2X3690	BL	ADL	M
B3Y5980_BL_CHK_M__SRR22581226	Saarland_Second	B3Y5980_BL_CHK_M	SRR22581226	B3Y5980	BL	CHK	M
B4E9449_BL_CHK_M__SRR22581258	Saarland_Second	B4E9449_BL_CHK_M	SRR22581258	B4E9449	BL	CHK	M
B2X3443_BL_CHK_M__SRR22581232	Saarland_Second	B2X3443_BL_CHK_M	SRR22581232	B2X3443	BL	CHK	M
B2X3074_BL_ADL_M__SRR22581152	Saarland_Second	B2X3074_BL_ADL_M	SRR22581152	B2X3074	BL	ADL	M
B2X7381_BL_CHK_M__SRR22581296	Saarland_Second	B2X7381_BL_CHK_M	SRR22581296	B2X7381	BL	CHK	M
B4H1996_BL_CHK_M__SRR22581164	Saarland_Second	B4H1996_BL_CHK_M	SRR22581164	B4H1996	BL	CHK	M
B2V8993_BL_CHK_M__SRR22581168	Saarland_Second	B2V8993_BL_CHK_M	SRR22581168	B2V8993	BL	CHK	M
B4H1339_BL_CHK_M__SRR22581209	Saarland_Second	B4H1339_BL_CHK_M	SRR22581209	B4H1339	BL	CHK	M
B2X7410_BL_ADL_M__SRR22581252	Saarland_Second	B2X7410_BL_ADL_M	SRR22581252	B2X7410	BL	ADL	M
B4P8958_BL_CHK_F__SRR22581180	Saarland_Second	B4P8958_BL_CHK_F	SRR22581180	B4P8958	BL	CHK	F
B2X3328_BL_CHK_F__SRR22581128	Saarland_Second	B2X3328_BL_CHK_F	SRR22581128	B2X3328	BL	CHK	F
B2X4825_BL_ADL_M__SRR22581124	Saarland_Second	B2X4825_BL_ADL_M	SRR22581124	B2X4825	BL	ADL	M
B4H1342_BL_CHK_F__SRR22581297	Saarland_Second	B4H1342_BL_CHK_F	SRR22581297	B4H1342	BL	CHK	F
B4H0637_BL_CHK_M__SRR22581163	Saarland_Second	B4H0637_BL_CHK_M	SRR22581163	B4H0637	BL	CHK	M
B2X3265_BL_CHK_M__SRR22581134	Saarland_Second	B2X3265_BL_CHK_M	SRR22581134	B2X3265	BL	CHK	M
B2V8793_BL_ADL_F__SRR22581259	Saarland_Second	B2V8793_BL_ADL_F	SRR22581259	B2V8793	BL	ADL	F
