ID	Batch	Biosample	Accession	Ring	Tissue	Age	Sex	CoverageFile	Total_Sequences	Unique_Reads_Mapped	MappingRate	Total_Cytosines	CpG_Methylation_Rate	CHG_Methylation_Rate	CHH_Methylation_Rate	NumberRawCpGs	Number10XCpGs	Family
B2V8841_BL_ADL_F__SRR25143965	Kiel_EMSeq_MspI	B2V8841_BL_ADL_F	SRR25143965	B2V8841	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8841_BL_ADL_F__SRR25143965.cov.gz	14344879	6242523	43.50%	433259092	50.40%	2.00%	1.30%	3157509	1413823	F3
B2X3498_BL_ADL_M__SRR25143972	Kiel_EMSeq_MspI	B2X3498_BL_ADL_M	SRR25143972	B2X3498	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X3498_BL_ADL_M__SRR25143972.cov.gz	12647962	5156010	40.80%	331060516	49.60%	3.00%	2.10%	3086102	835963	F1
B2X3498_BL_ADL_M__SRR25143974	Kiel_EMSeq_MspI	B2X3498_BL_ADL_M	SRR25143974	B2X3498	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X3498_BL_ADL_M__SRR25143974.cov.gz	22179244	9386349	42.30%	634692878	48.60%	1.70%	1.00%	4011975	1849686	F1
B2X3614_BL_ADL_F__SRR25143962	Kiel_EMSeq_MspI	B2X3614_BL_ADL_F	SRR25143962	B2X3614	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X3614_BL_ADL_F__SRR25143962.cov.gz	19331401	8504979	44.00%	583666808	47.90%	1.70%	1.00%	3293878	1839467	F1
B2X3614_BL_ADL_F__SRR25143978	Kiel_EMSeq_MspI	B2X3614_BL_ADL_F	SRR25143978	B2X3614	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X3614_BL_ADL_F__SRR25143978.cov.gz	18547733	8128906	43.80%	543506885	47.40%	1.70%	1.00%	3292195	1807733	F1
B2X4825_BL_ADL_M__SRR25143963	Kiel_EMSeq_MspI	B2X4825_BL_ADL_M	SRR25143963	B2X4825	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X4825_BL_ADL_M__SRR25143963.cov.gz	20221886	8957150	44.30%	624110270	48.70%	1.70%	1.10%	3416090	1889348	F4
B2X7401_BL_ADL_M__SRR25143970	Kiel_EMSeq_MspI	B2X7401_BL_ADL_M	SRR25143970	B2X7401	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7401_BL_ADL_M__SRR25143970.cov.gz	18872620	8149061	43.20%	572963674	48.30%	1.40%	0.90%	3810648	1748439	F3
B2X7408_BL_ADL_F__SRR25143958	Kiel_EMSeq_MspI	B2X7408_BL_ADL_F	SRR25143958	B2X7408	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7408_BL_ADL_F__SRR25143958.cov.gz	11305445	4755356	42.10%	321882681	51.60%	2.40%	1.60%	2938246	901844	F1
B2X7408_BL_ADL_F__SRR25143960	Kiel_EMSeq_MspI	B2X7408_BL_ADL_F	SRR25143960	B2X7408	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7408_BL_ADL_F__SRR25143960.cov.gz	19257444	8386997	43.60%	590203705	49.80%	2.00%	1.40%	3336183	1829895	F1
B2X7410_BL_ADL_M__SRR25143956	Kiel_EMSeq_MspI	B2X7410_BL_ADL_M	SRR25143956	B2X7410	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7410_BL_ADL_M__SRR25143956.cov.gz	18782031	8265882	44.00%	572844193	48.90%	1.60%	0.90%	3248380	1819517	F1
B2X7410_BL_ADL_M__SRR25143976	Kiel_EMSeq_MspI	B2X7410_BL_ADL_M	SRR25143976	B2X7410	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7410_BL_ADL_M__SRR25143976.cov.gz	16112889	7005353	43.50%	473349711	50.30%	2.60%	1.70%	3082110	1376263	F1
B4E9350_BL_ADL_F__SRR25143968	Kiel_EMSeq_MspI	B4E9350_BL_ADL_F	SRR25143968	B4E9350	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B4E9350_BL_ADL_F__SRR25143968.cov.gz	12726242	5480500	43.10%	374282934	50.80%	2.10%	1.40%	3001163	1186665	F3
B2V8841_BL_ADL_F__SRR25143966	Kiel_EMSeq_WGS	B2V8841_BL_ADL_F	SRR25143966	B2V8841	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8841_BL_ADL_F__SRR25143966.cov.gz	131881324	81194699	61.60%	4859362706	51.70%	0.50%	0.50%	14281395	5972270	F3
B2X3498_BL_ADL_M__SRR25143973	Kiel_EMSeq_WGS	B2X3498_BL_ADL_M	SRR25143973	B2X3498	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X3498_BL_ADL_M__SRR25143973.cov.gz	119556176	69453544	58.10%	4285071810	50.20%	0.70%	0.70%	14364094	5254916	F1
B2X3498_BL_ADL_M__SRR25143975	Kiel_EMSeq_WGS	B2X3498_BL_ADL_M	SRR25143975	B2X3498	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X3498_BL_ADL_M__SRR25143975.cov.gz	114670262	61858747	53.90%	3809552105	50.20%	0.50%	0.50%	14280369	3939483	F1
B2X3614_BL_ADL_F__SRR25143967	Kiel_EMSeq_WGS	B2X3614_BL_ADL_F	SRR25143967	B2X3614	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X3614_BL_ADL_F__SRR25143967.cov.gz	113379714	69244436	61.10%	4159123583	51.50%	0.50%	0.50%	14184052	4309583	F1
B2X3614_BL_ADL_F__SRR25143979	Kiel_EMSeq_WGS	B2X3614_BL_ADL_F	SRR25143979	B2X3614	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X3614_BL_ADL_F__SRR25143979.cov.gz	177706724	109792205	61.80%	6603876311	52.10%	1.20%	1.10%	14476459	9391888	F1
B2X4825_BL_ADL_M__SRR25143964	Kiel_EMSeq_WGS	B2X4825_BL_ADL_M	SRR25143964	B2X4825	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X4825_BL_ADL_M__SRR25143964.cov.gz	113547647	65996789	58.10%	3955095882	50.90%	0.50%	0.50%	14146262	3658274	F4
B2X7401_BL_ADL_M__SRR25143971	Kiel_EMSeq_WGS	B2X7401_BL_ADL_M	SRR25143971	B2X7401	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7401_BL_ADL_M__SRR25143971.cov.gz	121061053	68252306	56.40%	4233663955	50.70%	0.50%	0.50%	14355879	5232898	F3
B2X7408_BL_ADL_F__SRR25143959	Kiel_EMSeq_WGS	B2X7408_BL_ADL_F	SRR25143959	B2X7408	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7408_BL_ADL_F__SRR25143959.cov.gz	124503090	74081767	59.50%	4453168774	52.70%	0.50%	0.50%	14221530	4979142	F1
B2X7408_BL_ADL_F__SRR25143961	Kiel_EMSeq_WGS	B2X7408_BL_ADL_F	SRR25143961	B2X7408	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7408_BL_ADL_F__SRR25143961.cov.gz	111048423	65382567	58.90%	3930276794	52.30%	0.70%	0.60%	14145107	3710827	F1
B2X7410_BL_ADL_M__SRR25143957	Kiel_EMSeq_WGS	B2X7410_BL_ADL_M	SRR25143957	B2X7410	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7410_BL_ADL_M__SRR25143957.cov.gz	130219225	76817616	59.00%	4598790478	51.40%	0.60%	0.60%	14260362	5263619	F1
B2X7410_BL_ADL_M__SRR25143977	Kiel_EMSeq_WGS	B2X7410_BL_ADL_M	SRR25143977	B2X7410	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7410_BL_ADL_M__SRR25143977.cov.gz	151207290	88102988	58.30%	5297892505	51.50%	0.70%	0.60%	14352798	7044079	F1
B4E9350_BL_ADL_F__SRR25143969	Kiel_EMSeq_WGS	B4E9350_BL_ADL_F	SRR25143969	B4E9350	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B4E9350_BL_ADL_F__SRR25143969.cov.gz	149703383	90679500	60.60%	5441914685	51.40%	0.50%	0.50%	14334704	7208922	F3
B2X4825_BL_ADL_M__SRR10606826	Kiel_RRBS	B2X4825_BL_ADL_M	SRR10606826	B2X4825	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X4825_BL_ADL_M__SRR10606826.cov.gz	22771109	14123206	62.00%	186381223	35.30%	0.70%	0.30%	1242854	588885	F4
B2X4825_BL_ADL_M__SRR10606843	Kiel_RRBS	B2X4825_BL_ADL_M	SRR10606843	B2X4825	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X4825_BL_ADL_M__SRR10606843.cov.gz	17222836	10703668	62.10%	138271867	37.20%	0.70%	0.40%	1251609	552117	F4
B2X4930_BL_ADL_F__SRR10606827	Kiel_RRBS	B2X4930_BL_ADL_F	SRR10606827	B2X4930	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X4930_BL_ADL_F__SRR10606827.cov.gz	25209530	15226606	60.40%	189111560	44.70%	0.90%	0.40%	1220480	572377	NA
B2X4930_BL_ADL_F__SRR10606844	Kiel_RRBS	B2X4930_BL_ADL_F	SRR10606844	B2X4930	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X4930_BL_ADL_F__SRR10606844.cov.gz	18580163	11048262	59.50%	146629039	39.20%	0.70%	0.40%	1286554	598655	NA
